0 13304
5908 2012 15896
4028 -2128 9240
1036 -3384 12688
4036 -3844 16472
4096 -5972 20300
-696 -2716 16652
5624 -728 11708
2612 612 15876
4840 -4748 15660
7464 -3828 16124
2676 -1556 13508
4112 -1584 16092
2316 844 16368
1388 -3700 19412
2592 -1832 13808
1284 -292 13160
4684 1452 14040
112 -648 14636
384 -3400 16720
876 -1852 15924
-360 -1284 15352
3044 -32 15084
3988 -1440 16020
3764 -1100 16776
6592 -2984 13624
3760 -2964 18452
2072 -4032 15068
1360 -4828 14092
5408 -2400 12344
1936 136 18496
4188 -3576 12512
2472 -420 14244
1656 580 13872
3172 1720 18484
1920 272 14248
-1992 -276 21404
1568 -1748 20260
5472 -3624 10412
568 -1512 15036
4188 -3104 23636
3376 -816 15812
6596 560 15220
4960 -1616 13464
6320 -2320 12868
6448 -1912 13144
4076 -3760 15472
3128 -3452 18320
2448 -3428 14428
4364 1392 7820
3436 -1684 8844
320 -3292 12928
656 -8768 22832
1428 -5492 17232
2896 -4356 13764
2696 -1440 19180
4196 -3724 17152
3672 -264 20212
2980 -3440 16388
3368 -2888 15280
1748 -2672 18780
1256 -512 14876
1376 -1024 18692
1044 1392 14628
4024 -2808 17012
3496 -3488 14024
740 -1192 13364
2452 -1076 15992
2128 -632 17944
5048 -248 15624
6488 648 13240
2808 -404 16144
3128 -2052 19692
3456 -116 18036
4692 -2776 17044
3464 620 15800
2820 1344 13448
3432 164 14960
4044 -3416 19592
2540 -3796 12848
3060 -1164 14336
144 -732 16268
3104 -2472 15656
4768 216 14452
3588 -3308 12268
1716 -4304 17392
2228 -2832 19228
3412 -2372 14560
4960 808 11300
2328 -1340 15964
5016 -3736 24212
3604 -1624 15244
-464 -1360 15088
3332 -3496 19356
-1076 -6520 14424
692 -4536 20280
5636 748 12064
3108 2260 13020
5200 -3480 12556
3052 -2060 10884
872 -3752 18200
1248 404 18564
2996 1028 19128
5980 -460 14136
3036 -1948 14744
3748 -5400 18624
4224 -4428 13272
5092 -1700 13856
3784 228 13180
3676 -420 14600
3788 -2776 17852
2860 -2072 14904
4332 -1276 12032
-300 -1916 19836
2656 -4336 14872
3792 -852 13056
2280 -1184 11868
3928 -3264 12656
5512 -3616 15388
3832 -2436 16600
3536 -984 19064
-1008 -2252 18864
5820 -4724 16748
3176 -3040 19816
4048 -1336 18292
4348 2184 17540
2268 -2388 19276
732 -736 20708
5732 -5372 17484
6892 -2976 6828
1772 -2592 14348
2192 -3984 16852
2696 -4500 15604
3120 -484 18604
3604 -1856 17564
4388 -2640 16196
5700 -2892 16976
2316 -2892 19088
4024 -4464 16500
8648 -2588 14444
4064 -1744 14616
-520 -3300 17236
-628 -3384 20440
1844 -2984 13944
2824 -3052 14296
904 -2544 17760
-424 -1832 17488
3880 716 13412
1540 -1560 13568
5180 -1848 15512
4376 -992 16120
2704 -304 16664
7556 1244 14292
4960 -516 12172
5824 -2244 23580
3880 420 13512
2900 1072 12068
1304 140 13068
1164 -1980 18420
1644 -5852 21620
2120 -3164 19600
1160 532 14824
1044 -2836 20308
1060 -4160 16416
2756 -3076 13380
3732 164 13088
5672 -5020 16100
448 -2776 14188
736 -3744 20580
3300 -2004 17780
7572 -332 13868
7868 44 9764
4624 -764 12112
552 -3868 16768
3572 -3676 18932
5380 -3164 14316
5344 -76 12460
